"","particpate","elaboration","prefood","pregas","prebank","preretail","preother","Rfreq","mile1","mile2","mile3","mile4","basemile"
"299",0,0,1.6935482025,3.387096405,0,0,0,0,2,8,7,8,5.0806446075
"302",0,0,13.6612854,0,38.048370361,0,2.0322570801,0,36,6,9,0,53.7419128411
"308",1,15,60.290313721,4.9677391052,169.69348145,0.2258063555,25.741928101,0,28,4,788,0,260.9192687327
"313",1,9,3.1612892151,0.2258063555,4.51612854,0,0,0,8,0,17,52,7.9032241106
"314",0,0,3.1612892151,0,0,1.6935482025,0,0,72,0,17,1,4.8548374176
"318",1,18,60.177398682,0.6774191856,8.4677352905,1.2419347763,2.4838695526,0,150,70,0,187,73.048357487
"324",0,0,9.5967712402,1.2419347763,62.209655762,0.7903223038,8.6935424805,0,2,27,2,45,82.5322265628
"330",0,0,52.951599121,0.451612711,18.967727661,12.75806427,0.7903223038,0,13,27,111,367,85.9193260668
"333",1,26,0.2258063555,0,10.04838562,0,0,0,0,0,0,17,10.2741919755
"348",0,0,4.7419319153,0.1129031777,0.7903223038,0.1129031777,0,0,0,30,0,0,5.7580605745
"359",0,0,2.3709659576,0,31.838699341,0,0,0,98,0,1,0,34.2096652986
"360",0,0,0,0,7.6774177551,0,0,0,22,0,1,0,7.6774177551
"373",1,21,303.82250977,3.2741928101,104.77416992,0,0.451612711,0,230,146,483,70,412.3224852111
"374",0,0,0,0,100.37091064,0,110.41931152,0,12,0,0,175,210.79022216
"377",1,51,6.6612892151,0,17.61289978,4.7419319153,1.9193544388,0,18,32,75,8,30.9354753492
"381",0,0,1.2419347763,0.1129031777,29.01612854,0,0,0,59,1,0,19,30.370966494
"390",0,0,5.3064498901,2.145160675,54.758056641,0,0,0,94,1,28,5,62.2096672061
"393",0,0,5.0806427002,13.77419281,50.580627441,0,0.1129031777,0,3,7,210,1,69.5483661289
"402",0,0,0,0,65.822570801,0,0,0,71,0,0,0,65.822570801
"404",0,0,0,14.45160675,79.258056641,0.1129031777,0,0,12,397,5,30,93.8225665687
"410",0,0,14.225799561,9.0322570801,13.77419281,0.451612711,0.9032254219,0,24,2,26,19,38.387087584
"414",1,44,0.3387095928,0.6774191856,79.145141602,0,18.62902832,0,232,18,0,2,98.7902987004
"417",0,0,13.32257843,0,33.983856201,0,3.2741928101,0,69,3,185,2,50.5806274411
"420",1,47,150.38708496,0,0,0,0,0,452,167,99,0,150.38708496
"429",0,0,5.3064498901,0.451612711,45.387084961,0,0,0,12,8,3,102,51.1451475621
"432",0,0,17.1612854,0,28,0,0,0,194,6,1,7,45.1612854
"448",1,25,55.435455322,1.129032135,12.19354248,0,0,0,1,18,0,5,68.758029937
"454",1,46,23.370956421,38.838684082,196.67736816,0.3387095928,1.129032135,0,94,294,79,44,260.3547503908
"460",1,8,48.6612854,12.87096405,3.7258052826,0.1129031777,0.7903223038,0,46,11,56,6,66.1612802141
"481",0,0,0.2258063555,0.2258063555,29.12902832,0.3387095928,0,0,22,0,0,0,29.9193506238
"485",1,23,62.774169922,4.4032249451,95.62902832,0,0,0,4,218,52,54,162.8064231871
"489",1,20,79.935424805,0.6774191856,40.645141602,1.6935482025,0,0,308,131,0,2,122.9515337951
"491",0,0,194.98376465,0,57.241912842,0.3387095928,0,0,354,229,85,54,252.5643870848
"492",0,0,2.9354820251,0,0.6774191856,0.451612711,16.258056641,0,0,6,8,4,20.3225705627
"498",1,7,3.8387088776,16.258056641,49.338684082,0,1.3548383713,0,52,2,47,318,70.7902879719
"506",1,47,0,1.9193544388,173.87084961,0,0.2258063555,0,0,0,0,0,176.0160104043
"519",1,41,27.209671021,1.4677410126,39.62902832,0.2258063555,0,0,68,84,17,66,68.5322467091
"520",1,54,134.12902832,4.7419319153,106.35479736,0.3387095928,0,0,172,1127,48,709,245.5644671881
"522",1,11,2.0322570801,0,0,0.1129031777,0,0,0,0,0,59,2.1451602578
"525",0,0,0,0.451612711,22.467727661,0,2.8225803375,0,0,58,0,0,25.7419207095
"526",0,0,0,1.3548383713,93.483825684,0,21.451599121,0,348,0,0,0,116.2902631763
"531",0,0,166.41931152,2.8225803375,26.19354248,0,4.0645141602,0,46,48,579,13,199.4999484977
"540",0,0,0.1129031777,0,14.90322113,0.1129031777,0,0,68,0,0,0,15.1290274854
"549",1,12,4.9677391052,26.758056641,86.145141602,0,0,0,2,43,365,14,117.8709373482
"551",1,15,12.64515686,3.7258052826,0,1.4677410126,0,0,2,1,3,3,17.8387031552
"565",0,0,63,0,0,0,23.14515686,0,206,0,0,255,86.14515686
"568",0,0,12.64515686,0.1129031777,7.9032249451,73.951599121,0,0,182,17,20,0,94.6128841038
"574",0,0,0,1.129032135,91.903198242,0,1.8064508438,0,2,0,2,0,94.8386812208
"575",1,23,0,2.0322570801,155.46765137,0,0,0,0,0,25,1,157.4999084501
"580",1,13,0,0.9032254219,39.06451416,1.8064508438,0.7903223038,0,1,0,18,78,42.5645127295
"585",0,0,2.145160675,3.1612892151,81.741882324,0,0,0,105,5,41,1,87.0483322141
"613",1,20,52.612884521,4.9677391052,102.9677124,9.1451568604,0,0,0,34,348,0,169.6934928866
"618",0,0,2.0322570801,0.2258063555,89.645141602,0.1129031777,0,0,0,108,0,0,92.0161082153
"620",1,20,0.7903223038,1.01612854,132.20959473,1.01612854,0.2258063555,0,1,0,664,2,135.2579804693
"627",0,0,125.20965576,8.1290283203,50.467712402,0,0,0,72,4,179,7,183.8063964823
"628",0,0,27.887084961,0,0,0,0,0,0,85,1,0,27.887084961
"636",1,24,8.6935424805,2.145160675,37.145141602,0.2258063555,0,0,11,2,133,0,48.209651113
