"","particpate","elaboration","prefood","pregas","prebank","preretail","preother","Rfreq","mile1","mile2","mile3","mile4","basemile"
"20254",1,13,1.2419347763,0,0,0,0,0,0,2,3,1,1.2419347763
"20263",1,6,4.7419319153,0.6774191856,8.1290283203,0,0.451612711,0,26,85,1,287,13.9999921322
"20294",1,16,48.09677124,0,19.0806427,0,0.1129031777,0,51,89,71,36,67.2903171177
"20311",0,0,47.53225708,0.3387095928,29.12902832,0.1129031777,0,0,9,9,5,127,77.1128981705
"20313",1,11,2.0322570801,1.9193544388,39.403198242,0.1129031777,0,0,1,2,4,187,43.4677129386
"20314",0,0,30.370956421,0,64.580627441,0.1129031777,0,0,30,12,0,387,95.0644870397
"20315",0,0,14.67741394,0,0,1.3548383713,0,0,11,0,16,13,16.0322523113
"20316",1,7,0,0,1.3548383713,0,3.387096405,0,0,0,11,0,4.7419347763
"20321",1,25,7,0,0,0.1129031777,0,0,0,0,2,0,7.1129031777
"20331",0,0,49.338684082,0,23.258056641,0,0,0,30,147,0,0,72.596740723
"20342",1,22,28.451599121,0,38.1612854,0,1.9193544388,0,1,60,18,1,68.5322389598
"20358",0,0,0.1129031777,0,122.16125488,0,0,0,1,0,356,3,122.2741580577
"20362",0,0,43.354827881,0,0,0,0,0,3,34,15,10,43.354827881
"20365",0,0,24.951599121,0,0,1.9193544388,0.1129031777,0,0,48,1,3,26.9838567375
"20374",1,31,4.7419319153,0.2258063555,0,0,0,0,0,0,1,0,4.9677382708
"20381",1,23,0,0.3387095928,11.06451416,0.451612711,0,0,0,0,0,0,11.8548364638
"20395",0,0,3.1612892151,1.4677410126,0,0,0,0,2,6,49,42,4.6290302277
"20397",1,52,15.91934967,0.1129031777,33.870941162,0,0.451612711,0,280,1,0,4,50.3548067207
"20403",1,44,1.8064508438,0.2258063555,0,0,0,0,5,0,5,0,2.0322571993
"20420",1,20,10.95160675,3.1612892151,5.75806427,0,0,0,10,10,5,10,19.8709602351
"20428",0,0,0.1129031777,20.322570801,54.080627441,2.9354820251,0,0,2,7,71,7,77.4515834448
"20445",0,0,2.0322570801,0,3.6129016876,0.1129031777,0,0,11,22,6,7,5.7580619454
"20450",1,26,3.387096405,5.9838676453,10.5,0,0.2258063555,0,2,65,62,0,20.0967704058
"20454",1,20,2.0322570801,7.2258033752,0,0.451612711,0.7903223038,0,2,1,12,2,10.4999954701
"20459",0,0,11.17741394,0,0,0.1129031777,0,0,12,8,9,6,11.2903171177
"20466",1,20,2.9354820251,0,3.8387088776,0.3387095928,1.6935482025,0,16,5,114,6,8.806448698
"20474",1,18,0.5645160675,0.1129031777,0,0,1.8064508438,0,5,45,11,2,2.483870089
"20478",1,30,0.451612711,0,6.6612892151,0,0,0,22,0,2,0,7.1129019261
"20480",1,51,0.451612711,0,0,0,0.451612711,0,0,1,0,12,0.903225422
"20493",0,0,5.9838676453,0,35.112884521,0.3387095928,3.8387088776,0,7,281,19,5,45.2741706367
"20507",1,20,0.3387095928,1.129032135,0,0,0,0,0,4,0,1,1.4677417278
"20513",1,29,1.4677410126,0.2258063555,47.645141602,0,0,0,22,3,0,124,49.3386889701
"20517",1,12,0,0,0,0,1.2419347763,0,1,5,30,0,1.2419347763
"20537",1,0,1.5806446075,0,0,2.8225803375,0,0,114,124,70,156,4.403224945
"20538",1,30,41.322570801,0,0,0.1129031777,0,0,0,15,8,161,41.4354739787
"20541",1,18,10.83870697,0,0,0,0,0,6,5,45,4,10.83870697
"20545",0,0,6.4354820251,0,0,0,1.01612854,0,9,9,6,1,7.4516105651
"20546",1,21,0.6774191856,0.1129031777,1.2419347763,0,0,0,23,0,0,5,2.0322571396
"20567",1,42,0.1129031777,0,12.0806427,0,1.6935482025,0,12,2,0,2,13.8870940802
"20570",1,13,7.6774177551,0,0,0,0.9032254219,1,0,5,4,7,8.580643177
"20578",0,0,0.1129031777,0,0,0,0,0,0,0,0,0,0.1129031777
"20591",0,0,16.370956421,0,0,0,0,0,19,20,14,9,16.370956421
"20594",1,16,0,5.3064498901,18.741928101,0.3387095928,0.1129031777,0,2,58,1,6,24.4999907616
"20598",1,33,1.9193544388,7,47.983856201,0.5645160675,3.387096405,0,139,2,31,6,60.8548231123
"20599",0,0,16.59677124,0,0,0,0,0,0,0,7,0,16.59677124
"20600",0,0,0.1129031777,0,0,0,0,2,0,0,0,0,0.1129031777
"20602",0,0,6.0967712402,2.9354820251,138.30639648,3.7258052826,0.2258063555,0,115,257,2,54,151.2902613834
"20603",1,3,7.1128997803,0.2258063555,0,7.1128997803,7.9032249451,0,22,1,32,11,22.3548308612
"20605",1,16,2.0322570801,0,0,0,1.6935482025,0,0,18,0,1,3.7258052826
"20631",0,0,5.75806427,0,1.9193544388,0,0,0,3,0,10,0,7.6774187088
"20637",1,21,12.983863831,0,0,0,0,0,0,2,0,1,12.983863831
"20639",0,0,0.6774191856,1.5806446075,1.01612854,0,0,0,6,1,3,0,3.2741923331
"20659",1,28,143.38708496,0,59.951599121,0.3387095928,1.3548383713,0,51,61,76,228,205.0322320451
"20661",0,0,2.0322570801,0.9032254219,0,0.1129031777,0,0,0,0,1,4,3.0483856797
"20676",1,6,124.53222656,3.1612892151,112.90319824,2.0322570801,1.129032135,0,648,323,45,66,243.7580032302
"20677",0,0,0,0,27.6612854,0,0,0,0,87,0,0,27.6612854
"20682",1,21,0,0.2258063555,3.387096405,0,0.5645160675,0,14,0,1,3,4.177418828
"20685",1,10,0.1129031777,0.2258063555,0,2.5967731476,0.1129031777,0,16,1,3,4,3.0483858585
"20700",0,0,44.935455322,2.5967731476,0,0,0.1129031777,0,1,59,0,2,47.6451316473
"20705",1,24,0.451612711,0.1129031777,0,0.6774191856,0,0,1,8,0,1,1.2419350743
"20709",0,0,0,0,26.758056641,0,0,0,0,73,0,0,26.758056641
"20742",1,26,2.25806427,0.451612711,0,0,0,0,38,1,1,2,2.709676981
"20746",1,20,2.3709659576,1.4677410126,55.435455322,0,1.129032135,0,1,80,1,1,60.4031944272
"20753",1,28,0.9032254219,0,0,0,0,0,1,1,0,0,0.9032254219
"20762",0,0,0,0.1129031777,41.548370361,0,0,0,0,23,0,0,41.6612735387
"20769",0,0,0,0.5645160675,0,0,0,0,2,0,2,0,0.5645160675
"20771",0,0,17.951599121,0,0,0,0,0,18,5,5,15,17.951599121
"20772",0,0,32.62902832,2.25806427,12.19354248,0,0.3387095928,0,14,26,99,25,47.4193446628
"20777",1,28,13.43547821,0,0,9.25806427,0,0,6,4,60,0,22.69354248
"20779",0,0,58.370941162,0,0,0,3.1612892151,2,7,4,13,4,61.5322303771
"20783",0,0,10.04838562,0,7.3387069702,1.2419347763,7.4516105652,0,14,10,107,9,26.0806379317
"20816",1,44,56.56451416,0,0,0.6774191856,0,0,292,369,258,15,57.2419333456
"20824",0,0,314.20947266,5.8709640503,29.354827881,1.2419347763,0.3387095928,0,517,606,171,390,351.0159089604
"20831",0,0,57.241912842,1.129032135,0,0,1.2419347763,0,0,3,0,9,59.6128797533
"20834",1,16,0.6774191856,1.01612854,0,0,0.3387095928,0,1,1,1,2,2.0322573184
"20837",1,23,10.5,3.387096405,0,1.6935482025,0,0,5,36,10,20,15.5806446075
"20845",0,0,1.129032135,0,22.5806427,0,0,0,11,1,0,0,23.709674835
"20851",1,26,8.2419281006,0.2258063555,19.53225708,0,0,0,0,71,0,0,27.9999915361
"20857",0,0,25.403213501,5.8709640503,34.09677124,0,5.5322570801,0,7,124,19,3,70.9032058714
"20865",1,20,0.2258063555,0,0,0,0,0,0,0,0,0,0.2258063555
"20871",1,32,1.9193544388,0,9.25806427,0.3387095928,0,0,45,0,3,2,11.5161283016
"20873",1,18,0.3387095928,0,0,0,0,0,0,0,0,0,0.3387095928
"20894",0,0,2.3709659576,0,44.935455322,7.1128997803,2.145160675,0,5,93,18,9,56.5644817349
"20906",0,0,0.5645160675,0.9032254219,4.8548355103,0,0,0,0,34,1,0,6.3225769997
"20924",0,0,0.2258063555,0,6.0967712402,0,0,0,105,21,2,0,6.3225775957
"20925",1,11,0.3387095928,4.2903213501,0,0.451612711,0,0,0,4,2,2,5.0806436539
"20929",0,0,4.0645141602,0,3.6129016876,0.1129031777,0,0,2,0,2,0,7.7903190255
"20939",0,0,5.3064498901,3.0483856201,0,0,0.451612711,0,23,14,21,2,8.8064482212
"20940",1,49,1.3548383713,0,27.322570801,0,0,0,0,0,2,104,28.6774091723
"20941",0,0,7.3387069702,0,0,0,0,0,14,0,19,2,7.3387069702
"20949",1,11,5.0806427002,7.4516105652,18.06451416,0,0,0,2,0,8,69,30.5967674254
"20953",0,0,15.01612854,0,0,0,0,0,2,3,1,5,15.01612854
"20955",0,0,0,0,0.6774191856,0,0,0,0,0,0,0,0.6774191856
"20974",1,26,7.2258033752,0.451612711,0,0.9032254219,0,0,10,20,10,17,8.5806415081
"20979",1,40,0.5645160675,0,14.56451416,0.1129031777,0,0,0,37,0,15,15.2419334052
"20986",0,0,0,0,0.6774191856,1.8064508438,0,0,3,0,0,2,2.4838700294
"20987",0,0,14.56451416,0,0,0,0,0,33,23,41,24,14.56451416
"20991",0,0,7.9032249451,4.51612854,11.741928101,1.129032135,0.2258063555,0,45,2,21,14,25.5161200766
"20997",1,20,153.09667969,0,0,1.01612854,0,0,116,55,59,113,154.11280823
"20998",1,28,9.5967712402,0,16.935470581,0,0.2258063555,0,1,153,0,2,26.7580481767
"21019",1,20,1.129032135,0.451612711,15.12902832,0,7.5645141602,0,11,3,32,0,24.2741873262
"21023",0,0,1.01612854,0,0,0,0,0,0,0,0,0,1.01612854
"21028",0,0,5.1935462952,0,9.1451568604,0,1.3548383713,0,1,3,64,7,15.6935415269
"21030",1,25,32.967712402,0,0,0,2.25806427,0,41,37,9,3,35.225776672
"21042",0,0,104.54833984,11.29032135,0,6.4354820251,0,0,160,58,44,112,122.2741432151
"21044",1,50,0.2258063555,0,4.0645141602,0,0,0,21,0,1,1,4.2903205157
"21058",1,29,13.09677124,0.9032254219,2.9354820251,0,25.403213501,0,2,2,11,19,42.338692188
"21062",0,0,5.4193534851,0.6774191856,2.3709659576,0,0,0,22,0,3,2,8.4677386283
"21064",0,0,13.09677124,0.6774191856,53.290313721,0,11.40322113,0,35,6,35,5,78.4677252766
"21073",1,25,4.9677391052,0,0,0,0,0,0,0,5,0,4.9677391052
"21076",1,20,0,0,23.709671021,0,0,0,3,70,0,0,23.709671021
"21109",0,0,3.1612892151,0,0,0,0.3387095928,0,0,2,3,0,3.4999988079
"21110",1,22,1.9193544388,1.3548383713,0,0,0,0,0,5,0,2,3.2741928101
"21111",1,8,0.6774191856,4.1774177551,0,0,0.6774191856,0,16,1,12,2,5.5322561263
"21117",1,14,17.1612854,0,153.09667969,0,0,0,116,0,0,0,170.25796509
"21131",0,0,15.5806427,0,0,0,0,0,3,0,2,5,15.5806427
"21132",0,0,34.887084961,1.129032135,0,1.3548383713,0,0,4,15,9,0,37.3709554673
"21133",1,30,3.9516124725,0.2258063555,0,0,0,0,0,0,0,0,4.177418828
"21141",1,16,0,9.0322570801,0,0,0,0,0,1,2,0,9.0322570801
"21143",1,43,0.1129031777,1.01612854,5.1935462952,0.2258063555,0,0,0,7,2,0,6.5483843684
"21153",1,36,54.983856201,3.5,29.806442261,0.1129031777,0,0,7,27,54,134,88.4032016397
"21155",0,0,0.3387095928,0,11.741928101,0,0,0,0,31,0,0,12.0806376938
"21173",0,0,0.5645160675,11.741928101,21.225799561,0,0.2258063555,0,0,7,452,106,33.758050085
"21177",0,0,5.8709640503,0,0,0,0.6774191856,0,16,0,14,0,6.5483832359
"21180",0,0,5.75806427,0,0.5645160675,0,0.2258063555,0,0,0,2,0,6.548386693
"21186",1,18,24.951599121,0,0,0,0,0,0,82,7,0,24.951599121
"21214",1,22,0,0,38.838684082,0.1129031777,0,0,0,251,0,0,38.9515872597
"21216",1,25,5.4193534851,1.9193544388,0,0,1.129032135,0,53,6,5,5,8.4677400589
"21218",1,18,2.8225803375,1.2419347763,0,0,0,0,2,2,5,0,4.0645151138
"21233",1,47,4.0645141602,0,2.7096767426,0,0,0,5,40,0,0,6.7741909028
"21239",0,0,0,0.451612711,2.5967731476,0,0,0,0,2,0,14,3.0483858586
"21247",0,0,5.4193534851,0.9032254219,32.62902832,0,1.3548383713,0,121,0,84,6,40.3064455983
"21253",0,0,0.2258063555,0,0,0,0,0,0,0,0,0,0.2258063555
"21263",0,0,5.9838676453,0,25.854827881,4.7419319153,0,0,1,0,39,0,36.5806274416
"21269",0,0,1.2419347763,1.129032135,24.1612854,0,0,0,41,7,0,5,26.5322523113
"21281",0,0,2.3709659576,0,0,0,0,0,1,1,0,0,2.3709659576
"21287",0,0,2.9354820251,0,9.0322570801,0,0,0,47,1,0,0,11.9677391052
"21288",1,32,4.1774177551,0,0,0,0,0,3,23,13,9,4.1774177551
"21293",0,0,0.2258063555,0.451612711,0,0,0,0,0,0,0,0,0.6774190665
"21306",0,0,0.1129031777,1.3548383713,4.1774177551,0,0,0,11,6,2,3,5.6451593041
"21312",0,0,5.645160675,0,0,0,0.451612711,0,5,6,4,2,6.096773386
"21314",0,0,32.854827881,0,0,0.6774191856,0,0,33,53,12,6,33.5322470666
"21318",0,0,0.1129031777,0,0,0,0,0,0,0,0,0,0.1129031777
"21333",1,25,0.5645160675,0,0,0,2.145160675,0,0,0,0,0,2.7096767425
"21335",0,0,41.435455322,0,0,0,0.2258063555,0,6,57,0,10,41.6612616775
"21337",1,16,2.0322570801,0,0,0.1129031777,1.01612854,0,0,0,0,4,3.1612887978
"21346",1,15,4.2903213501,0,0,0,1.01612854,0,0,0,4,3,5.3064498901
"21348",1,6,0.2258063555,2.0322570801,0,0,1.2419347763,0,35,0,0,3,3.4999982119
"21363",0,0,13.09677124,2.25806427,7.9032249451,0,0,0,33,5,10,0,23.2580604551
"21367",0,0,2.7096767426,0,3.1612892151,0,0,0,1,0,2,10,5.8709659577
"21381",0,0,17.725799561,0.3387095928,0,0,0,0,0,0,72,1,18.0645091538
"21383",1,11,0,2.3709659576,15.467735291,0,0.1129031777,0,1,76,0,2,17.9516044263
"21392",1,13,0.1129031777,0,0,0,0.5645160675,0,1,1,0,0,0.6774192452
"21401",1,28,30.370956421,0.2258063555,32.967712402,0,6.2096748352,0,68,1,72,153,69.7741500137
"21407",0,0,12.75806427,0.3387095928,19.758056641,0.1129031777,1.4677410126,0,3,13,59,10,34.4354746941
"21419",0,0,0,1.3548383713,0.5645160675,0,2.5967731476,0,0,2,15,0,4.5161275864
"21457",0,0,74.62902832,0.9032254219,0,0.1129031777,0.3387095928,0,116,82,110,1,75.9838665124
"21470",0,0,3.7258052826,3.1612892151,0,0,0,0,2,2,3,2,6.8870944977
"21472",0,0,47.419342041,0,4.51612854,0,0,0,159,0,8,2,51.935470581
"21475",0,0,7.4516105652,0.2258063555,0,0.6774191856,0,0,9,7,15,1,8.3548361063
"21490",0,0,23.709671021,0.9032254219,6.887096405,18.967727661,0.1129031777,0,70,62,105,0,50.5806236866
"21494",0,0,98.56451416,0,0.3387095928,0,0,0,0,0,6,0,98.9032237528
"21500",0,0,104.54833984,2.9354820251,20.09677124,0,0,1,28,31,30,2,127.5805931051
"21509",1,12,0,0,2.8225803375,0.1129031777,5.645160675,0,0,0,25,1,8.5806441902
"21510",1,23,2.8225803375,0.5645160675,0,0.451612711,0,0,0,1,2,0,3.838709116
"21511",0,0,2.5967731476,0,0,0,0,0,1,101,0,1,2.5967731476
"21515",1,11,0.2258063555,0,0,0,0.2258063555,0,0,0,0,0,0.451612711
"21517",0,0,0.6774191856,0.5645160675,0,0,0,0,0,0,0,0,1.2419352531
"21518",1,9,47.53225708,0,0,0.3387095928,0,0,31,29,71,11,47.8709666728
"21524",0,0,0.6774191856,0,1.01612854,0.5645160675,0,0,0,0,1,10,2.2580637931
"21526",0,0,1.3548383713,0.5645160675,0,0,0,0,0,0,11,0,1.9193544388
"21527",0,0,6.6612892151,0,0,0,0.451612711,0,11,0,0,0,7.1129019261
"21534",0,0,11.06451416,0,0,0,0,0,0,0,0,0,11.06451416
"21544",0,0,4.2903213501,0,0,0,0.1129031777,0,1,0,4,0,4.4032245278
"21556",1,30,0.6774191856,0,18.51612854,0,0,0,0,0,0,81,19.1935477256
"21565",1,17,0.451612711,0.1129031777,0,0,10.38709259,0,1,0,0,0,10.9516084787
"21571",0,0,0.7903223038,0,34.548370361,0,6.7741928101,0,76,20,0,0,42.1128854749
"21587",0,0,65.596740723,0,16.258056641,0,0.2258063555,0,0,29,15,2,82.0806037195
"21597",0,0,0,6.0967712402,5.0806427002,0,0,0,1,18,0,1,11.1774139404
"21624",1,29,2.3709659576,0,0,0,0,0,0,0,5,2,2.3709659576
"21625",1,27,9.25806427,0,30.370956421,0,0.3387095928,0,19,1,2,54,39.9677302838
"21633",0,0,1.129032135,0.1129031777,0,0,0.3387095928,0,0,2,0,0,1.5806449055
"21637",1,42,1.2419347763,0,0,0,0.3387095928,0,0,0,0,0,1.5806443691
"21648",0,0,7.6774177551,0.7903223038,0,0,0,0,1,0,0,60,8.4677400589
"21650",0,0,0.3387095928,0,0,0,0,0,0,0,0,0,0.3387095928
"21661",1,17,0.2258063555,0.2258063555,0,0,0,0,1,2,0,0,0.451612711
"21674",1,11,35.338684082,2.25806427,0,0,0.6774191856,0,3,48,2,11,38.2741675376
"21693",1,25,210.56445313,0.451612711,0,0.451612711,0.3387095928,0,93,130,61,165,211.8063881448
"21704",1,52,0,1.01612854,65.709655762,4.0645141602,2.25806427,0,0,1,322,129,73.0483627322
"21706",0,0,0,0.7903223038,0,0,0,0,0,0,2,0,0.7903223038
"21714",0,0,4.2903213501,0.3387095928,20.6612854,0,0,0,0,0,251,72,25.2903163429
"21719",1,14,13.54838562,0.9032254219,0,0,0,0,0,332,5,407,14.4516110419
"21737",1,14,30.03225708,0,10.61289978,0,3.387096405,0,10,201,113,0,44.032253265
"21738",1,20,0.2258063555,0.6774191856,3.6129016876,0,0,0,0,1,2,1,4.5161272287
"21739",1,47,6.887096405,1.9193544388,22.354827881,2.25806427,0,0,50,3,10,10,33.4193429948
"21740",1,9,0.7903223038,0,15.5806427,2.0322570801,0,0,0,11,140,73,18.4032220839
"21744",1,13,5.0806427002,0.451612711,16.59677124,0.2258063555,0,0,154,0,0,4,22.3548330067
"21749",1,7,0,0.3387095928,4.4032249451,0,0,0,23,0,0,0,4.7419345379
"21755",1,26,4.8548355103,0,6.2096748352,1.01612854,0.1129031777,0,30,4,0,2,12.1935420632
"21758",1,15,0,0,0,0,1.2419347763,0,2,1,1,1,1.2419347763
"21781",0,0,136.5,0.451612711,0,0,0,0,55,52,51,35,136.951612711
"21789",0,0,0.3387095928,1.01612854,5.5322570801,0.451612711,2.7096767426,0,19,0,7,15,10.0483846665
"21799",0,0,27.435470581,0,10.04838562,0,0,0,112,0,3,4,37.483856201
"21801",0,0,0.1129031777,0,17.387084961,0,0,0,2,0,44,0,17.4999881387
"21811",1,15,0.7903223038,2.8225803375,0,0.2258063555,0,0,3,0,0,0,3.8387089968
"21851",1,47,0.5645160675,0,0,0,0,0,1,0,2,1,0.5645160675
"21854",1,25,7.9032249451,0,0,0,0.451612711,0,0,0,5,2,8.3548376561
"21864",0,0,19.19354248,0,2.0322570801,0,1.5806446075,0,11,8,27,5,22.8064441676
"21866",1,7,5.8709640503,1.6935482025,16.59677124,1.5806446075,1.129032135,0,0,107,5,0,26.8709602353
"21891",1,22,23.258056641,22.241928101,22.354827881,0.7903223038,0,0,67,33,38,6,68.6451349268
"21903",1,0,0.451612711,38.274169922,0,3.2741928101,2.25806427,0,14,6,20,5,44.2580397131
"21918",1,6,4.0645141602,0,0,0,0,0,9,7,12,0,4.0645141602
"21922",0,0,17.1612854,0.2258063555,0,0,0,0,8,5,18,23,17.3870917555
"21928",0,0,5.0806427002,0,0,0.451612711,0.2258063555,0,0,1,0,1,5.7580617667
"21929",0,0,6.887096405,0,0,0,0.2258063555,0,0,0,0,1,7.1129027605
"21936",1,46,28.903213501,0,0,0,0,0,0,0,64,56,28.903213501
"21939",1,16,0.5645160675,0,1.6935482025,2.25806427,0,0,0,0,8,0,4.51612854
"21944",1,14,75.19354248,5.3064498901,33.19354248,0,0,0,143,23,26,2,113.6935348501
"21950",1,10,45.5,0,0,0.2258063555,0,0,157,0,0,153,45.7258063555
"21951",1,26,0,0.1129031777,0,0.5645160675,0,0,316,57,5,54,0.6774192452
"21955",1,42,11.40322113,0.1129031777,15.01612854,1.01612854,0,0,34,1,200,0,27.5483813877
"21959",0,0,115.83868408,0,0,0.6774191856,0.2258063555,0,5,0,51,0,116.7419096211
"21965",0,0,43.241912842,1.129032135,0,0,0,0,0,1,22,3,44.370944977
"21971",1,26,52.387084961,1.2419347763,6.3225784302,0,0.7903223038,0,16,15,53,3,60.7419204713
"21972",1,22,17.951599121,0,0,0,0.2258063555,0,0,0,0,163,18.1774054765
"21974",0,0,1.6935482025,0,31.04838562,0.6774191856,3.387096405,0,2,16,110,2,36.8064494131
"21975",0,0,1.6935482025,4.0645141602,0,0.3387095928,0.7903223038,0,6,6,6,5,6.8870942593
"21976",0,0,4.51612854,0.7903223038,36.12902832,0,0,0,0,12,0,3,41.4354791638
"21980",0,0,4.9677391052,0,0,2.4838695526,0.9032254219,0,1,70,25,4,8.3548340797
"21989",1,24,1.3548383713,0,36.580627441,0,0,0,59,2,5,13,37.9354658123
"22002",1,31,0,0,9.1451568604,0,0,0,0,1,2,33,9.1451568604
"22004",1,15,0,3.387096405,11.967735291,0,0,0,0,113,0,1,15.354831696
"22007",1,4,0.1129031777,6.7741928101,0,0,0,0,8,8,2,1,6.8870959878
"22008",0,0,9.5967712402,0,0,0.1129031777,8.5806427002,0,10,12,0,0,18.2903171181
"22017",0,0,40.080627441,0,0,0,0,0,21,32,7,2,40.080627441
"22018",1,1,12.64515686,0,0,0,11.51612854,0,45,0,16,5,24.1612854
"22027",0,0,26.19354248,1.129032135,21,1.3548383713,1.01612854,0,105,188,45,9,50.6935415263
"22032",1,52,35.56451416,0.1129031777,2.25806427,0,0,0,0,2,38,1,37.9354816077
"22038",0,0,1.01612854,1.9193544388,0,0,0,0,5,4,9,1,2.9354829788
"22051",0,0,0,0,383.64501953,0,2.7096767426,0,10,0,12,1036,386.3546962726
"22052",1,24,0.6774191856,0.6774191856,11.06451416,0,0.2258063555,0,4,19,70,2,12.6451588867
"22054",1,13,37.935455322,4.51612854,16.709671021,0,0.451612711,0,2,1,20,371,59.612867594
"22070",1,17,0.1129031777,1.129032135,34.09677124,1.4677410126,7.1128997803,0,25,46,44,4,43.9193473456
"22071",0,0,60.516113281,0.3387095928,45.838684082,0,0,0,15,18,117,0,106.6935069558
"22082",0,0,0,0.6774191856,0,0.9032254219,0,0,1,1,1,1,1.5806446075
"22084",1,27,1.5806446075,0,0,0,0,0,0,0,0,0,1.5806446075
"22085",1,25,11.06451416,0.7903223038,0,0,0,0,9,20,8,4,11.8548364638
"22097",0,0,0.3387095928,1.5806446075,0,0,0,0,3,0,1,2,1.9193542003
"22114",1,16,0,3.387096405,0,0,0,0,4,3,3,3,3.387096405
"22115",1,22,0,3.1612892151,3.6129016876,0,0,0,12,4,0,7,6.7741909027
"22118",1,4,32.741912842,1.6935482025,0,0.7903223038,0,0,21,0,57,57,35.2257833483
"22120",0,0,0,0,20.322570801,0,0,0,66,0,0,0,20.322570801
"22144",0,0,0,0.1129031777,0,0,0,0,0,0,0,0,0.1129031777
"22151",0,0,1.6935482025,0,0,0,0,0,0,3,0,1,1.6935482025
"22153",1,48,3.7258052826,0.1129031777,0,7.7903213501,0,0,66,6,53,1,11.6290298104
"22164",1,24,79.483825684,0,0,0,0,0,110,127,0,53,79.483825684
"22166",0,0,128.70959473,0,0,0,0,0,8,0,0,557,128.70959473
"22173",0,0,33.080627441,5.0806427002,16.935470581,0.451612711,0,0,190,3,28,0,55.5483534332
"22174",1,12,2.145160675,3.1612892151,2.8225803375,0,0.2258063555,0,1,2,3,2,8.3548365831
"22179",0,0,0,0,102.40319824,0,5.645160675,0,9,0,298,0,108.048358915
"22195",1,19,2.145160675,2.4838695526,10.725799561,2.5967731476,0,0,1,65,25,9,17.9516029362
"22203",1,2,10.1612854,0,8.8064498901,54.870941162,0,0,13,70,20,112,73.8386764521
"22230",1,26,7.1128997803,0,0,0,0,0,0,0,2,0,7.1128997803
"22236",0,0,1.129032135,0.2258063555,19.64515686,0,0.7903223038,0,3,62,0,5,21.7903176543
"22245",1,6,0.6774191856,0,0,0,0,0,1,0,1,0,0.6774191856
"22253",1,26,0.2258063555,0.2258063555,8.3548355103,0,0.451612711,0,3,39,1,1,9.2580609323
"22264",1,29,0.3387095928,0.2258063555,0.5645160675,0,0,0,0,0,1,0,1.1290320158
"22268",0,0,5.9838676453,2.25806427,0,0,0,0,5,0,4,0,8.2419319153
"22270",1,11,0.7903223038,0,0,0,0,0,0,0,0,0,0.7903223038
"22275",0,0,0.6774191856,0.9032254219,0,0,0,0,1,0,0,0,1.5806446075
"22278",0,0,12.64515686,0,0,1.4677410126,11.51612854,0,0,33,97,0,25.6290264126
"22307",1,27,0.1129031777,0,14.90322113,0,0,0,0,0,0,1,15.0161243077
"22333",0,0,1.6935482025,0,32.854827881,0,14.79032135,0,23,92,0,3,49.3386974335
"22338",1,52,10.83870697,0,45.1612854,0,1.6935482025,0,39,33,1,4,57.6935405725
"22339",1,31,0,0,0.2258063555,0,0,0,0,0,19,0,0.2258063555
"22347",1,25,0.2258063555,3.9516124725,33.758056641,0,0,0,33,4,0,0,37.935475469
"22355",1,42,13.32257843,0,0,0,0,0,107,2,1,2,13.32257843
"22361",1,45,0,0.1129031777,5.4193534851,0,0,0,17,0,0,0,5.5322566628
"22369",0,0,13.32257843,1.01612854,0,0,0,0,9,1,1,4,14.33870697
"22380",1,21,72.258056641,0,26.758056641,0,0,0,259,2,0,2,99.016113282
"22399",1,40,1.4677410126,0.451612711,0,0,0,0,106,0,0,1,1.9193537236
"22401",0,0,0,0,7.1128997803,0,1.3548383713,0,0,0,0,6,8.4677381516
"22405",1,36,0.1129031777,0.3387095928,1.129032135,33.080627441,6.4354820251,0,1,18,149,0,41.0967543716
"22406",0,0,81.62902832,0,12.0806427,0,0,0,69,6,10,7,93.70967102
"22415",1,28,0.2258063555,0.7903223038,82.419311523,0,5.5322570801,0,39,7,295,1,88.9676972624
"22417",1,15,0,0.1129031777,6.5483856201,2.145160675,1.3548383713,0,5,26,2,5,10.1612878441
"22420",1,8,0.3387095928,9.4838638306,12.0806427,0,0,0,2,6,90,4,21.9032161234
"22425",1,7,0.1129031777,0,6.0967712402,0,0,0,0,0,24,0,6.2096744179
"22431",1,31,9.1451568604,0,0,1.01612854,0,0,2,0,14,1,10.1612854004
"22448",1,18,0.5645160675,0,0,0,0,0,0,0,3,0,0.5645160675
"22449",1,41,13.209671021,0.3387095928,0.6774191856,0,0,0,3,88,2,4,14.2257997994
"22459",0,0,4.8548355103,7,4.7419319153,0,0,0,0,2,0,2,16.5967674256
"22462",0,0,81.854797363,0,0,0,2.8225803375,0,82,0,239,2,84.6773777005
"22467",1,8,0.1129031777,0,0,2.8225803375,0,0,1,0,0,4,2.9354835152
"22471",0,0,2.145160675,0,0,0,84.677368164,0,752,1,3,3,86.822528839
"22472",0,0,0,0.3387095928,0,0,3.9516124725,0,0,0,50,0,4.2903220653
"22477",1,1,1.129032135,2.4838695526,9.0322570801,0,0,0,8,7,1,2,12.6451587677
"22481",1,41,3.2741928101,0,0,0,0,0,0,0,12,0,3.2741928101
"22483",0,0,16.822570801,0,0,0,1.01612854,0,2,4,6,1,17.838699341
"22489",0,0,159.75805664,0.451612711,0,0,0,0,9,98,10,97,160.209669351
"22492",0,0,29.5806427,2.145160675,37.483856201,0,0.3387095928,0,3,334,0,0,69.5483691688
