Pb,Circuit,n*R
0.01,774,745.9559999892724
0.02,774,763.0309999888686
0.03,774,776.3229999885543
0.04,774,788.0869999882761
0.05,774,799.0819999880162
0.060000000000000005,774,809.6639999877659
0.06999999999999999,774,820.0289999875208
0.08,774,830.298999987278
0.09,774,840.5539999870355
0.09999999999999999,774,850.850999986792
