"o","X1","X1.1"
0,0.116490012022183,3.67107677414997
0,0.0729751309170827,0
0,0.0491108253558535,0
0,0.0868319568041444,3.46318817826715
0,0.0604257887811628,0
0,0.0393587631840712,0
0,0.0365859773299574,0
0,0.0362412150518941,0
0,0.0370295609742579,0
0,0.0846149678853167,3.48604401650658
0,0.0536903158616586,0
0,0.0639510034255657,0
0,0.0502970972360839,0
0,0.0698861515920731,0
0,0.0720559413531019,0
0,0.0468730963472715,0
0,0.1431938379457,3.53892354473281
2.3933391571,0.082576269013314,3.46056623629579
0,0.0729958578914535,0
0,0.110900595295339,3.50066391339406
0,0.0428023736811819,0
0,0.301097060238294,3.64638017440958
0,0.0934877157507265,3.52149052890724
0,0.0857671514236934,3.52014637633936
0,0.037490916058415,0
0,0.0508266384097736,0
0,0.0714722675293167,0
0,0.0671319322647172,0
0,0.0776659792414958,3.48845664772657
0,0.0549635320199372,0
0,0.077250255771951,3.50752317164513
0,0.0713791531680524,0
0,0.0714466238082849,0
4.6841621399,0.175602675074919,3.65043783050753
0,0.0474069580933313,0
0,0.0461768298136539,0
0,0.0658212705458948,0
2.7663173676,0.0452574427111025,0
0,0.0576659115673985,0
0,0.108302552871978,3.51078590020803
0,0.075680027186614,3.49570910487556
0,0.04746545580752,0
0,0.0612524005465763,0
4.0562934875,0.196290011304762,3.60584566251437
0,0.0882282609010356,3.48431217527725
0,0.0691888995419971,0
0,0.0534047018058864,0
0,0.05001311229306,0
0,0.039884892921173,0
0,0.0925726745572566,3.47644614233656
3.723279953,0.113159958393404,3.55003857905477
4.4161834717,0.147006256368817,3.61997056673532
0,0.0657160334566625,0
4.8476448059,0.567376426618637,3.77993588452158
0,0.0529507661304079,0
0,0.116365504223654,3.53860503678289
0,0.0447342829665354,0
0,0.0593231535535661,0
0,0.0908562511547352,3.50000603744049
0,0.0466086755315353,0
0,0.116107247040144,3.50391151622884
0,0.0348087489290268,0
0,0.0759367231999736,3.4909562867347
0,0.0429221447722265,0
0,0.103983429151984,3.5545438095368
0,0.150746908318831,3.66507726068293
0,0.0401699960595919,0
0,0.0438912600972205,0
0,0.312685078516331,3.74151573095877
0,0.0537956028097279,0
0,0.0766479083057428,3.49590920334157
