"original","X1"
FALSE,0.0889996479999066
FALSE,0.0760787076394898
FALSE,0.0723334115156966
FALSE,0.0747581949887847
FALSE,0.0727497811262786
FALSE,0.0680786282870615
FALSE,0.0679698411784847
FALSE,0.0677952847371096
FALSE,0.0689571671094772
FALSE,0.0753552558206914
FALSE,0.0721895657815094
FALSE,0.0737443088950211
FALSE,0.0703736619400263
FALSE,0.07368253033093
FALSE,0.0782032411616717
FALSE,0.0700009686473787
FALSE,0.0842149211625634
TRUE,0.0742701860889655
FALSE,0.0726156835884057
FALSE,0.0782328045258503
FALSE,0.0702723700061283
FALSE,0.1010628850634
FALSE,0.0785213718241257
FALSE,0.0762318960430967
FALSE,0.0684213914953542
FALSE,0.0710164014794098
FALSE,0.0730702135095473
FALSE,0.0738968747788686
FALSE,0.0749995536572956
FALSE,0.0719915157990832
FALSE,0.0731671639706743
FALSE,0.0738085106922424
FALSE,0.0749808830057032
TRUE,0.0941704297515975
FALSE,0.0701404331306718
FALSE,0.0716232552890798
FALSE,0.0727505729131306
TRUE,0.0707203341632263
FALSE,0.0718587726113914
FALSE,0.0785050253097341
FALSE,0.0753999537071227
FALSE,0.0710505990081935
FALSE,0.0740322289400089
TRUE,0.0923504599409387
FALSE,0.0758532996391036
FALSE,0.0753228067747608
FALSE,0.0715876191076393
FALSE,0.0702184213620685
FALSE,0.0687359629580672
FALSE,0.0761218612204275
TRUE,0.0802221361112488
TRUE,0.0903370495260467
FALSE,0.0733696376223724
TRUE,0.12780479506239
FALSE,0.0723645432507401
FALSE,0.0797312281218965
FALSE,0.0701694758014191
FALSE,0.074201952371277
FALSE,0.0787430419228387
FALSE,0.0706022987585765
FALSE,0.0788006887340874
FALSE,0.0673479732097998
FALSE,0.0759683835687781
FALSE,0.070507413946443
FALSE,0.0789961428115503
FALSE,0.0899095135178733
FALSE,0.0692747385637198
FALSE,0.0697943414750964
FALSE,0.117685189334385
FALSE,0.0717753753626198
FALSE,0.0747268552543182
FALSE,0.0839266257527521
FALSE,0.0775311685939584
FALSE,0.0685434303668428
FALSE,0.0711355923079422
FALSE,0.0739141877448999
FALSE,0.077459808435753
FALSE,0.0717823062750462
FALSE,0.0753010955768758
FALSE,0.0733555833628391
FALSE,0.0692905448858185
FALSE,0.0792911746995719
FALSE,0.0763594446250028
FALSE,0.0699164880517397
FALSE,0.0757418408849335
FALSE,0.0719428475901329
FALSE,0.072512635013704
FALSE,0.0772852616487291
FALSE,0.0738582767109011
FALSE,0.0725593174125854
FALSE,0.077464783091324
FALSE,0.082887032481934
FALSE,0.0740901059688737
