"o","X1"
0,0
0,3.50790633806293
0,0
0,3.48070081781869
0,3.46034301495287
0,3.54703263655498
0,0
0,0
0,3.53431425752574
0,0
0,3.48520874633638
0,3.69491736094804
0,3.52965339535483
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.72910158332328
0,0
0,3.55887694269381
0,3.51748002999473
0,3.51906397800689
0,3.47686771482588
0,0
0,0
0,0
0,3.62787254640312
0,3.61928964012073
5.4111976624,3.50062158127292
0,0
0,0
0,3.49237878681508
0,0
0,3.52319069086761
0,0
0,3.57615117286652
0,0
0,0
0,0
0,3.49860735618965
0,3.53467865648931
0,0
0,0
0,0
0,0
0,0
0,3.45047057254537
0,0
0,0
0,3.54780307011164
0,3.46045933928162
0,3.5120618012236
0,3.52590768004673
0,0
0,0
0,3.50131001222609
0,0
0,3.49018069444608
0,0
0,0
0,0
0,3.49253445854198
0,0
0,3.56305411492273
0,0
0,3.50379682011508
0,0
0,0
0,3.47259433131268
0,3.46458879698884
0,0
0,0
2.2925338745,3.51939590258413
0,0
0,0
0,0
0,0
0,3.7366750094392
0,3.51993414120421
0,0
0,3.44986203736753
0,0
0,0
0,3.50935340352513
0,3.45603544948112
0,0
0,0
0,0
0,3.51711680768204
0,0
0,3.48782469587487
0,0
0,0
0,0
0,0
0,3.53927614621657
0,0
4.8613586426,3.50688887622274
0,3.461219358767
0,0
0,0
0,3.53455307752293
0,0
0,0
0,3.56939110351327
0,3.52679228798762
0,0
0,3.4689723837284
0,3.47570673286785
4.2611274719,3.45733200842317
0,3.55386963900443
3.7541980743,3.5717399474131
0,3.51159543209385
0,3.49655941340431
0,0
0,0
0,0
0,0
0,0
0,0
0,3.57796398949009
0,0
0,0
0,3.54023701623836
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.53442962598489
0,0
0,0
3.5467376709,3.56420833941141
0,3.51284500649884
0,0
0,0
3.0344715118,0
0,0
0,0
0,0
0,3.50177055234962
0,0
0,0
0,0
0,3.51947021663133
0,0
0,0
0,0
0,3.48175439674496
2.7013607025,3.50516560581742
0,0
0,3.69011795051578
0,0
0,0
0,0
0,3.46306652862354
2.7688312531,0
0,0
0,0
0,0
0,3.63537356823542
0,0
2.191652298,3.46127812289674
0,0
0,3.5079955647768
0,0
0,0
0,0
0,0
0,3.53140253324098
0,3.58200256684876
0,0
0,0
0,3.48869047995552
3.2108421326,3.49858693535435
0,0
0,3.53251575029371
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.49877723980329
0,3.46188312542672
0,3.48165569284341
0,3.53184553811503
0,0
0,0
0,3.46650973305374
0,0
0,3.50167175835862
0,0
0,0
0,0
0,3.52104726214843
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.49376702956937
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.5297320732683
0,3.58543291664764
0,0
0,3.50322347847765
0,0
0,3.57719984675706
0,0
0,0
0,0
0,0
0,0
0,3.48514896734353
3.4121360779,3.50367700670615
0,3.46955472446141
0,3.53562942519684
0,3.49249059583724
0,3.69985916690792
0,0
0,0
0,0
3.7898540497,0
0,0
0,0
4.0306930542,3.56201689443378
0,0
4.9680023193,3.49462146916304
0,0
0,3.50189313161646
0,0
0,0
2.768201828,3.46382835041782
0,0
0,0
4.6553840637,3.64605058489456
0,0
0,3.47552607700894
0,0
4.0943412781,3.47685961086157
0,3.48608130985139
0,3.54253216384253
0,0
0,0
0,0
0,0
0,0
0,3.46458788649321
3.7784900665,3.46594307746794
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.46881686193178
0,3.57952930826852
3.7074546814,3.57116983144489
0,3.52119043291727
0,3.51714465682701
0,0
0,3.51473517630163
0,0
0,0
0,0
3.4594650269,3.51271487321519
0,3.50936788398907
0,0
0,3.6476814544345
0,0
0,0
0,0
0,0
0,3.5028099184517
0,0
0,3.48229356502401
0,0
3.5201625824,3.55290451876016
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.47057889611519
0,3.49124069099995
4.6131362915,0
0,0
0,3.48393326823766
0,3.60093039661717
0,0
0,3.4772361966809
2.3795452118,3.47739902675626
0,0
0,3.49815135717205
2.6246681213,3.4666317057922
0,0
3.0373516083,3.48277930025895
0,3.53115959654841
0,3.53115560509968
0,0
4.3541374207,3.60751794726994
0,3.5162183726452
0,0
0,0
0,3.61240301865591
0,0
0,3.49297443756761
0,3.51414826509093
0,3.49498845942086
0,3.49238806219813
0,3.5463234029384
0,0
0,3.47453280084425
0,3.4952994697858
0,0
0,0
3.4812393188,3.4966660721556
0,3.53204645578844
0,3.63625212121858
0,3.56135981441768
0,0
0,0
0,0
0,0
0,3.46498838748977
0,0
0,3.56190772499041
0,3.45234340099994
0,0
0,0
0,0
0,3.48608715794943
0,0
0,0
1.7900905609,3.52013957533944
0,3.5039638879443
0,0
0,0
0,0
0,3.50958180086539
0,0
0,0
0,0
0,0
0,0
0,3.50961138200892
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3.356546402,3.54198498542795
0,0
0,3.52400981511789
0,0
0,0
0,0
0,3.58656619453006
0,3.46063949806777
0,0
0,0
0,3.46631364976571
0,0
0,0
0,0
0,3.50810785814053
0,0
0,0
0,0
0,0
4.5325965881,3.50496628075704
0,3.51917451883963
0,3.55138157655981
0,0
0,0
0,0
0,3.48446793500868
0,3.52840647259099
0,3.48105002363138
0,3.45027105450143
0,0
0,3.47307151047479
0,0
0,0
0,3.5185219379314
0,0
3.4258880615,0
0,0
0,3.48864179262282
0,3.59257995588791
0,0
0,0
2.4379882813,3.50992488248493
0,3.4341277829063
0,0
0,0
0,3.67880055943409
0,0
0,3.45888132194498
0,0
0,0
0,0
0,3.56226528313371
0,0
0,0
0,0
0,3.58171320387519
0,3.51532334914004
3.6323070526,3.57077725056754
0,3.48522343188756
0,3.52264249480669
0,0
0,3.46622062664784
0,0
0,0
0,3.51260706775345
0,3.72714106657328
2.6318874359,3.47764582275222
0,3.57789633135544
0,0
0,0
0,3.47030033558255
0,3.52301587538375
0,0
0,3.51728721418286
0,3.54577720806525
0,0
0,0
0,0
3.7771186829,3.61026824592294
0,3.55562357926109
0,0
0,0
0,3.51091795989684
0,0
0,0
0,0
0,0
0,0
0,0
0,3.45874855555118
0,0
0,0
0,0
0,3.55839113140677
0,3.75729096956978
3.3603744507,3.52062955692493
4.540096283,3.59372059827378
0,0
0,0
0,3.53897701019902
0,3.60783076040347
0,0
0,0
0,3.50185272187442
0,0
0,0
0,0
0,3.46263080784894
0,3.51505677292668
3.2089176178,0
0,0
0,0
0,0
0,0
0,0
0,3.52256720747616
0,0
0,0
0,0
0,3.47275321773828
0,0
0,3.47435688357168
0,0
0,0
0,3.48722903961735
0,0
0,3.54327006402277
0,3.50113561000979
0,0
3.5322246552,0
0,0
3.2148666382,3.46548569831886
0,3.57522802459806
0,0
3.7057342529,3.5261171344367
0,3.49455652501772
4.561214447,0
0,0
0,0
0,3.4913303857497
0,3.49295958374522
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.55409037594019
0,0
3.2695674896,3.5743398334308
0,3.47964267114647
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.59921774002051
0,0
0,3.53185901015327
0,0
0,3.74005583187922
0,0
0,3.54117768034884
0,0
3.2557849884,3.53598453718687
0,3.52202401506361
0,0
0,0
0,3.48559186646835
0,3.48821986553354
3.7037658691,0
0,0
0,0
0,3.53559020261191
0,3.4862826237591
0,0
0,0
0,0
0,0
0,0
0,0
0,3.46827471882757
0,0
0,0
0,0
0,0
0,3.55520091804277
0,0
0,0
0,3.4713185491207
3.0540008545,0
0,3.64828626127943
0,0
0,0
4.1895027161,3.61689415886049
0,0
0,0
2.7593746185,3.66988763239514
0,0
0,3.595907987241
0,3.66552318875611
0,0
0,0
